,country,region,year,counts
0,Argentina,Latin America,2017,16
1,Argentina,Latin America,2018,16
2,Argentina,Latin America,2019,15
3,Argentina,Latin America,2020,15
4,Argentina,Latin America,2021,21
5,Argentina,Latin America,2022,24
6,Armenia,Asia,2022,1
7,Australia,Oceania,2017,35
8,Australia,Oceania,2018,37
9,Australia,Oceania,2019,37
10,Australia,Oceania,2020,37
11,Australia,Oceania,2021,36
12,Australia,Oceania,2022,38
13,Austria,Europe,2017,7
14,Austria,Europe,2018,8
15,Austria,Europe,2019,9
16,Austria,Europe,2020,9
17,Austria,Europe,2021,9
18,Austria,Europe,2022,8
19,Azerbaijan,Asia,2017,3
20,Azerbaijan,Asia,2018,2
21,Azerbaijan,Asia,2019,1
22,Azerbaijan,Asia,2020,2
23,Azerbaijan,Asia,2021,2
24,Azerbaijan,Asia,2022,2
25,Bahrain,Asia,2017,2
26,Bahrain,Asia,2018,2
27,Bahrain,Asia,2019,1
28,Bahrain,Asia,2020,1
29,Bahrain,Asia,2021,2
30,Bahrain,Asia,2022,2
31,Bangladesh,Asia,2017,1
32,Bangladesh,Asia,2018,1
33,Bangladesh,Asia,2019,2
34,Bangladesh,Asia,2020,2
35,Bangladesh,Asia,2021,2
36,Bangladesh,Asia,2022,4
37,Belarus,Europe,2017,2
38,Belarus,Europe,2018,2
39,Belarus,Europe,2019,2
40,Belarus,Europe,2020,2
41,Belarus,Europe,2021,3
42,Belarus,Europe,2022,3
43,Belgium,Europe,2017,8
44,Belgium,Europe,2018,8
45,Belgium,Europe,2019,8
46,Belgium,Europe,2020,8
47,Belgium,Europe,2021,9
48,Belgium,Europe,2022,9
49,Bolivia,Latin America,2021,2
50,Bolivia,Latin America,2022,2
51,Bosnia and Herzegovina,Europe,2019,1
52,Bosnia and Herzegovina,Europe,2021,1
53,Bosnia and Herzegovina,Europe,2022,1
54,Brazil,Latin America,2017,22
55,Brazil,Latin America,2018,22
56,Brazil,Latin America,2019,22
57,Brazil,Latin America,2020,20
58,Brazil,Latin America,2021,22
59,Brazil,Latin America,2022,27
60,Brunei,Asia,2018,1
61,Brunei,Asia,2019,2
62,Brunei,Asia,2020,2
63,Brunei,Asia,2021,2
64,Brunei,Asia,2022,2
65,Bulgaria,Europe,2017,1
66,Bulgaria,Europe,2018,1
67,Bulgaria,Europe,2019,1
68,Bulgaria,Europe,2020,1
69,Bulgaria,Europe,2021,1
70,Bulgaria,Europe,2022,1
71,Canada,North America,2017,26
72,Canada,North America,2018,26
73,Canada,North America,2019,26
74,Canada,North America,2020,26
75,Canada,North America,2021,26
76,Canada,North America,2022,28
77,Chile,Latin America,2017,11
78,Chile,Latin America,2018,11
79,Chile,Latin America,2019,11
80,Chile,Latin America,2020,14
81,Chile,Latin America,2021,18
82,Chile,Latin America,2022,20
83,China (Mainland),Asia,2017,33
84,China (Mainland),Asia,2018,39
85,China (Mainland),Asia,2019,40
86,China (Mainland),Asia,2020,42
87,China (Mainland),Asia,2021,51
88,China (Mainland),Asia,2022,58
89,Colombia,Latin America,2017,10
90,Colombia,Latin America,2018,10
91,Colombia,Latin America,2019,11
92,Colombia,Latin America,2020,13
93,Colombia,Latin America,2021,16
94,Colombia,Latin America,2022,19
95,Costa Rica,Latin America,2017,3
96,Costa Rica,Latin America,2018,2
97,Costa Rica,Latin America,2019,4
98,Costa Rica,Latin America,2020,3
99,Costa Rica,Latin America,2021,3
100,Costa Rica,Latin America,2022,3
101,Croatia,Europe,2017,1
102,Croatia,Europe,2018,1
103,Croatia,Europe,2019,1
104,Croatia,Europe,2020,1
105,Croatia,Europe,2021,3
106,Croatia,Europe,2022,4
107,Cuba,Latin America,2017,1
108,Cuba,Latin America,2018,1
109,Cuba,Latin America,2019,1
110,Cuba,Latin America,2020,1
111,Cuba,Latin America,2021,2
112,Cuba,Latin America,2022,3
113,Cyprus,Europe,2021,1
114,Cyprus,Europe,2022,1
115,Czech Republic,Europe,2017,6
116,Czech Republic,Europe,2018,6
117,Czech Republic,Europe,2019,6
118,Czech Republic,Europe,2020,11
119,Czech Republic,Europe,2021,14
120,Czech Republic,Europe,2022,15
121,Denmark,Europe,2017,6
122,Denmark,Europe,2018,6
123,Denmark,Europe,2019,6
124,Denmark,Europe,2020,6
125,Denmark,Europe,2021,6
126,Denmark,Europe,2022,5
127,Ecuador,Latin America,2017,2
128,Ecuador,Latin America,2018,2
129,Ecuador,Latin America,2019,3
130,Ecuador,Latin America,2020,4
131,Ecuador,Latin America,2021,6
132,Ecuador,Latin America,2022,7
133,Egypt,Africa,2017,5
134,Egypt,Africa,2018,5
135,Egypt,Africa,2019,6
136,Egypt,Africa,2020,6
137,Egypt,Africa,2021,9
138,Egypt,Africa,2022,13
139,Estonia,Europe,2017,2
140,Estonia,Europe,2018,2
141,Estonia,Europe,2019,3
142,Estonia,Europe,2020,3
143,Estonia,Europe,2021,3
144,Estonia,Europe,2022,3
145,Finland,Europe,2017,10
146,Finland,Europe,2018,10
147,Finland,Europe,2019,10
148,Finland,Europe,2020,9
149,Finland,Europe,2021,9
150,Finland,Europe,2022,9
151,France,Europe,2017,42
152,France,Europe,2018,42
153,France,Europe,2019,40
154,France,Europe,2020,40
155,France,Europe,2021,42
156,France,Europe,2022,32
157,Georgia,Asia,2021,1
158,Georgia,Asia,2022,1
159,Germany,Europe,2017,45
160,Germany,Europe,2018,47
161,Germany,Europe,2019,46
162,Germany,Europe,2020,47
163,Germany,Europe,2021,47
164,Germany,Europe,2022,46
165,Ghana,Africa,2017,1
166,Ghana,Africa,2018,1
167,Ghana,Africa,2021,1
168,Ghana,Africa,2022,1
169,Greece,Europe,2017,6
170,Greece,Europe,2018,6
171,Greece,Europe,2019,6
172,Greece,Europe,2020,6
173,Greece,Europe,2021,6
174,Greece,Europe,2022,6
175,Honduras,Latin America,2022,1
176,Hong Kong SAR,Asia,2017,7
177,Hong Kong SAR,Asia,2018,7
178,Hong Kong SAR,Asia,2019,7
179,Hong Kong SAR,Asia,2020,7
180,Hong Kong SAR,Asia,2021,7
181,Hong Kong SAR,Asia,2022,7
182,Hungary,Europe,2017,6
183,Hungary,Europe,2018,6
184,Hungary,Europe,2019,6
185,Hungary,Europe,2020,6
186,Hungary,Europe,2021,8
187,Hungary,Europe,2022,9
188,India,Asia,2017,15
189,India,Asia,2018,21
190,India,Asia,2019,25
191,India,Asia,2020,28
192,India,Asia,2021,29
193,India,Asia,2022,35
194,Indonesia,Asia,2017,9
195,Indonesia,Asia,2018,9
196,Indonesia,Asia,2019,9
197,Indonesia,Asia,2020,10
198,Indonesia,Asia,2021,11
199,Indonesia,Asia,2022,16
200,"Iran, Islamic Republic of",Asia,2017,5
201,"Iran, Islamic Republic of",Asia,2018,5
202,"Iran, Islamic Republic of",Asia,2019,6
203,"Iran, Islamic Republic of",Asia,2020,6
204,"Iran, Islamic Republic of",Asia,2021,6
205,"Iran, Islamic Republic of",Asia,2022,6
206,Iraq,Asia,2017,2
207,Iraq,Asia,2018,2
208,Iraq,Asia,2019,4
209,Iraq,Asia,2020,3
210,Iraq,Asia,2021,5
211,Iraq,Asia,2022,5
212,Ireland,Europe,2017,8
213,Ireland,Europe,2018,8
214,Ireland,Europe,2019,8
215,Ireland,Europe,2020,8
216,Ireland,Europe,2021,8
217,Ireland,Europe,2022,8
218,Israel,Asia,2017,7
219,Israel,Asia,2018,7
220,Israel,Asia,2019,7
221,Israel,Asia,2020,7
222,Israel,Asia,2021,7
223,Israel,Asia,2022,6
224,Italy,Europe,2017,29
225,Italy,Europe,2018,31
226,Italy,Europe,2019,31
227,Italy,Europe,2020,35
228,Italy,Europe,2021,40
229,Italy,Europe,2022,41
230,Japan,Asia,2017,39
231,Japan,Asia,2018,43
232,Japan,Asia,2019,44
233,Japan,Asia,2020,43
234,Japan,Asia,2021,45
235,Japan,Asia,2022,48
236,Jordan,Asia,2017,2
237,Jordan,Asia,2018,2
238,Jordan,Asia,2019,3
239,Jordan,Asia,2020,4
240,Jordan,Asia,2021,6
241,Jordan,Asia,2022,8
242,Kazakhstan,Asia,2017,8
243,Kazakhstan,Asia,2018,8
244,Kazakhstan,Asia,2019,10
